t_s,alpha_deg,q_deg_s,theta_deg,delta_e_deg
0.786,4.200625861969801,20.45875307819369,14.897825819572272,-5.0
0.788,4.196398653350957,20.462734913808518,14.938747212617505,-5.0
0.79,4.192229375233422,20.467279764725674,14.979677134567648,-5.0
0.792,4.18811840139234,20.472374352438784,15.020616698164003,-5.0
0.794,4.184066076040533,20.47800546509276,15.061566989656896,-5.0
0.796,4.180072714307,20.484159961071622,15.102529068942593,-5.0
0.798,4.176138602716493,20.49082477248624,15.143503969707284,-5.0
0.8,4.172263999669964,20.497986908562662,15.184492699577936,-5.0
0.802,4.168449135925697,20.505633458931918,15.22549624027984,-5.0
0.804,4.164694215080921,20.51375159682199,15.266515547800616,-5.0
0.806,4.160999414053712,20.52232858215279,15.307551552560522,-5.0
0.808,4.157364883565002,20.531351764535028,15.348605159588862,-5.0
0.81,4.153790748620521,20.54080858617375,15.389677248706278,-5.0
0.812,4.150277108992463,20.550686584677443,15.430768674712759,-5.0
0.8140000000000001,4.146824039700738,20.56097339577362,15.47188026758119,-5.0
0.8160000000000001,4.143431591493615,20.571656755931734,15.513012832656226,-5.0
0.8180000000000001,4.140099791327583,20.582724504894422,15.554167150858314,-5.0
0.8200000000000001,4.136828642846295,20.594164588117884,15.595343978892705,-5.0
0.8220000000000001,4.133618126858399,20.605965059122518,15.636544049463241,-5.0
0.8240000000000001,4.130468201814125,20.61811408175463,15.677768071490757,-5.0
0.8260000000000001,4.127378804280463,20.63059993236026,15.719016730335932,-5.0
0.8280000000000001,4.124349849414785,20.64341100187211,15.76029068802638,-5.0
0.8300000000000001,4.12138123143677,20.656535797810598,15.80159058348784,-5.0
0.8320000000000001,4.118472824098475,20.6699629462,15.842917032779289,-5.0
0.834,4.115624481152438,20.68368119340073,15.88427062933178,-5.0
0.836,4.112836036817653,20.697679407858836,15.9256519441909,-5.0
0.838,4.110107306243301,20.711946581773688,15.967061526262603,-5.0
0.84,4.107438085970107,20.726471832684958,16.00849990256232,-5.0
0.842,4.1048281543891925,20.74124440497994,16.04996757846718,-5.0
0.844,4.102277272198308,20.756253671322302,16.09146503797111,-5.0
0.846,4.099785182855331,20.771489134003296,16.132992743942786,-5.0
0.848,4.097351613028906,20.7869404262166,16.174551138386168,-5.0
0.85,4.0949762730461226,20.802597313257774,16.2161406427035,-5.0
0.852,4.092658857337129,20.818449693649555,16.257761657960668,-5.0
0.854,4.090399044876569,20.83448760019396,16.299414565154713,-5.0
0.856,4.088196499621736,20.85070120095242,16.34109972548338,-5.0
0.858,4.086050870947371,20.867080800154994,16.382817480616563,-5.0
0.86,4.0839617940769894,20.88361683903979,16.424568152969485,-5.0
0.862,4.0819288905106434,20.90029989662371,16.466352045977512,-5.0
0.864,4.079951768449056,20.917120690405696,16.508169444372403,-5.0
0.866,4.078030023214019,20.93407007700349,16.550020614459935,-5.0
0.868,4.076163237664981,20.951139052725136,16.591905804398724,-5.0
0.87,4.074350982611754,20.968318754076314,16.633825244480118,-5.0
0.872,4.072592817223257,20.985600458204622,16.675779147409056,-5.0
0.874,4.070888289432223,21.00297558328196,16.717767708585725,-5.0
0.876,4.069236936335808,21.020435688826122,16.75979110638797,-5.0
0.878,4.067638284592028,21.037972475962754,16.80184950245422,-5.0
0.88,4.066091850811965,21.055577787628767,16.843943041966956,-5.0
0.882,4.064597141947683,21.073243608718357,16.886071853936464,-5.0
0.884,4.063153655675796,21.090962066172775,16.92823605148485,-5.0
